protein_name,chain_id
26S proteasome non-ATPase regulatory subunit 1,"1,N"
26S proteasome non-ATPase regulatory subunit 11,"4,Q"
26S proteasome non-ATPase regulatory subunit 3,"6,S"
26S proteasome non-ATPase regulatory subunit 7,"8,U"
26S proteasome complex subunit DSS1,"AB,Y"
Proteasome subunit alpha type-6,"B,h"
Proteasome subunit alpha type-4,"D,j"
Proteasome subunit alpha type-1,"G,m"
Proteasome subunit beta type-7,"b,p"
Proteasome subunit beta type-1,"f,t"
26S protease regulatory subunit 4,"I,w"
26S proteasome non-ATPase regulatory subunit 6,"5,R"
26S proteasome non-ATPase regulatory subunit 8,"7,T"
26S proteasome non-ATPase regulatory subunit 14,"9,V"
26S proteasome non-ATPase regulatory subunit 4,"AA,W"
26S proteasome non-ATPase regulatory subunit 2,"AC,Z"
26S protease regulatory subunit 7,"H,v"
Proteasome subunit alpha type-2,"C,i"
Proteasome subunit alpha type-7,"E,k"
Proteasome subunit alpha type-5,"F,l"
Proteasome subunit alpha type-3,"X,n"
Proteasome subunit beta type-6,"a,o"
Proteasome subunit beta type-3,"c,q"
Proteasome subunit beta type-2,"d,r"
26S protease regulatory subunit 10B,"L,z"
Proteasome subunit beta type-5,"e,s"
Proteasome subunit beta type-4,"g,u"
26S protease regulatory subunit 6A,"0,M"
26S protease regulatory subunit 8,"J,x"
26S protease regulatory subunit 6B,"K,y"
26S proteasome non-ATPase regulatory subunit 13,"2,O"
26S proteasome non-ATPase regulatory subunit 12,"3,P"
